epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,143.194,1.03785,1.76138,1.91915,0.71384,0.72972,0.74595,0.61436,0.65905,0.76552,1.65912,0.0675455,0.000662338,0.000662338
2,287.196,0.65963,0.78937,1.64353,0.75246,0.8704,0.89677,0.76294,0.58532,0.64725,1.61598,0.0348786,0.0013288,0.0013288
3,488.172,0.61679,0.65734,1.62539,0.81745,0.9263,0.92507,0.79129,0.56422,0.538,1.60141,0.00221089,0.00199444,0.00199444
4,673.518,0.60531,0.58765,1.59255,0.9243,0.92987,0.96787,0.8556,0.50762,0.46076,1.57857,0.00199723,0.00199723,0.00199723
5,871.316,0.57685,0.54605,1.58606,0.93122,0.94362,0.97138,0.85579,0.52074,0.46049,1.55938,0.00199507,0.00199507,0.00199507
6,1058.57,0.57265,0.51412,1.56523,0.91942,0.94297,0.95539,0.84883,0.51334,0.45402,1.56032,0.0019923,0.0019923,0.0019923
7,1251.51,0.56525,0.50042,1.589,0.94034,0.9474,0.97551,0.86399,0.55413,0.44808,1.55746,0.00198892,0.00198892,0.00198892
8,1460.96,0.55622,0.47698,1.54239,0.91062,0.9393,0.96372,0.86211,0.4797,0.42109,1.56423,0.00198493,0.00198493,0.00198493
9,1635.38,0.52001,0.44904,1.53646,0.93211,0.94999,0.96985,0.87851,0.47224,0.41246,1.537,0.00198033,0.00198033,0.00198033
10,1831.72,0.51795,0.4346,1.5204,0.93862,0.94777,0.96568,0.87731,0.4556,0.3899,1.54281,0.00197513,0.00197513,0.00197513
11,2008.89,0.51165,0.43845,1.53779,0.90846,0.9265,0.94221,0.85141,0.46886,0.40936,1.52527,0.00196933,0.00196933,0.00196933
12,2194.77,0.49473,0.42798,1.49751,0.94624,0.95455,0.97345,0.87939,0.46387,0.38004,1.53401,0.00196294,0.00196294,0.00196294
13,2408.31,0.49394,0.42551,1.52758,0.95024,0.96116,0.98013,0.88193,0.46802,0.38637,1.53776,0.00195595,0.00195595,0.00195595
14,2602.19,0.49864,0.40729,1.53064,0.95439,0.97056,0.9782,0.89119,0.44883,0.36298,1.51565,0.00194838,0.00194838,0.00194838
15,2784.5,0.47195,0.39484,1.49634,0.94419,0.95974,0.97399,0.89183,0.43731,0.35552,1.5054,0.00194022,0.00194022,0.00194022
16,2962.99,0.48012,0.39091,1.49256,0.96445,0.96364,0.97594,0.89394,0.46084,0.35651,1.50879,0.00193149,0.00193149,0.00193149
17,3184.37,0.47033,0.38158,1.49857,0.96244,0.96373,0.97148,0.89149,0.42723,0.34413,1.50273,0.00192219,0.00192219,0.00192219
18,3363.78,0.46763,0.37441,1.50284,0.96932,0.95719,0.97868,0.89731,0.44618,0.3532,1.50062,0.00191233,0.00191233,0.00191233
19,3548.79,0.45959,0.37587,1.4748,0.94807,0.96614,0.97934,0.89507,0.45167,0.35856,1.51572,0.00190191,0.00190191,0.00190191
20,3722.28,0.47447,0.39289,1.4909,0.90869,0.96139,0.96572,0.88866,0.44824,0.36671,1.53383,0.00189094,0.00189094,0.00189094
21,3899.68,0.46234,0.38085,1.50287,0.96838,0.96242,0.98171,0.89502,0.43237,0.35176,1.51152,0.00187942,0.00187942,0.00187942
22,4085,0.45152,0.36897,1.50057,0.941,0.96165,0.97858,0.89725,0.4395,0.35469,1.51953,0.00186738,0.00186738,0.00186738
23,4264.42,0.44421,0.35064,1.49311,0.92423,0.96828,0.97192,0.89337,0.4251,0.34484,1.50834,0.0018548,0.0018548,0.0018548
24,4444.8,0.44896,0.3591,1.46119,0.91321,0.95288,0.95768,0.88129,0.42513,0.35837,1.50594,0.00184171,0.00184171,0.00184171
25,4624.89,0.44435,0.3579,1.48575,0.95919,0.96718,0.97693,0.90003,0.43091,0.3444,1.48527,0.00182812,0.00182812,0.00182812
26,4817.14,0.44934,0.353,1.46335,0.95723,0.96753,0.97979,0.89722,0.4358,0.33929,1.48927,0.00181402,0.00181402,0.00181402
27,4993.46,0.44575,0.35217,1.47035,0.94255,0.95165,0.97554,0.90043,0.42077,0.33152,1.4798,0.00179943,0.00179943,0.00179943
28,5186.42,0.42875,0.33799,1.46759,0.97196,0.94915,0.97889,0.9097,0.41867,0.32969,1.50855,0.00178437,0.00178437,0.00178437
29,5335.19,0.43437,0.34133,1.46885,0.96139,0.96432,0.98222,0.91101,0.42135,0.34415,1.50545,0.00176883,0.00176883,0.00176883
30,5526.29,0.42551,0.34409,1.47826,0.95285,0.97336,0.97972,0.91002,0.41894,0.32559,1.5218,0.00175284,0.00175284,0.00175284
31,5701.05,0.42045,0.33399,1.46594,0.96626,0.96079,0.97637,0.90316,0.42117,0.31914,1.49402,0.0017364,0.0017364,0.0017364
32,5893.16,0.42626,0.33185,1.44573,0.95369,0.96232,0.97413,0.90311,0.41684,0.32542,1.48174,0.00171952,0.00171952,0.00171952
33,6073.53,0.42716,0.3346,1.45852,0.97064,0.95874,0.97756,0.90829,0.42591,0.33024,1.4959,0.00170222,0.00170222,0.00170222
34,6252.16,0.41493,0.32691,1.45271,0.95529,0.96028,0.97613,0.90767,0.41562,0.33601,1.47842,0.0016845,0.0016845,0.0016845
35,6432.57,0.40712,0.3248,1.4462,0.9582,0.97003,0.97828,0.90832,0.41134,0.32372,1.48002,0.00166639,0.00166639,0.00166639
36,6606.3,0.41448,0.32128,1.44164,0.95017,0.96972,0.97808,0.90639,0.41626,0.32369,1.50755,0.00164789,0.00164789,0.00164789
